rank,feature_location
34272,FC_mean_290
34272,FC_mean_291
34272,FC_mean_292
14836,FC_mean_293
34272,FC_mean_294
2076,FC_mean_295
34272,FC_mean_296
34272,FC_mean_297
34272,FC_mean_298
34272,FC_mean_299
34272,FC_mean_300
34272,FC_mean_301
5559,FC_mean_302
34272,FC_mean_303
34272,FC_mean_304
8391,FC_mean_305
34272,FC_mean_306
34272,FC_mean_307
34272,FC_mean_308
34272,FC_mean_309
5559,FC_mean_310
14836,FC_mean_311
5559,FC_mean_312
34272,FC_mean_313
34272,FC_mean_314
2076,FC_mean_315
14836,FC_mean_316
5559,FC_mean_317
14836,FC_mean_318
34272,FC_mean_319
34272,FC_mean_320
34272,FC_mean_321
34272,FC_mean_322
22273,FC_mean_323
34272,FC_mean_324
5559,FC_mean_325
34272,FC_mean_326
14836,FC_mean_327
22273,FC_mean_328
14836,FC_mean_329
34272,FC_mean_330
34272,FC_mean_331
8391,FC_mean_332
34272,FC_mean_333
34272,FC_mean_334
34272,FC_mean_335
34272,FC_mean_336
22273,FC_mean_337
14836,FC_mean_338
34272,FC_mean_339
34272,FC_mean_340
34272,FC_mean_341
34272,FC_mean_342
14836,FC_mean_343
5559,FC_mean_344
34272,FC_mean_345
34272,FC_mean_346
14836,FC_mean_347
14836,FC_mean_348
22273,FC_mean_349
34272,FC_mean_350
34272,FC_mean_351
14836,FC_mean_352
2076,FC_mean_353
14836,FC_mean_354
14836,FC_mean_355
34272,FC_mean_356
34272,FC_mean_357
34272,FC_mean_358
34272,FC_mean_359
5559,FC_mean_360
34272,FC_mean_361
34272,FC_mean_362
7559,FC_mean_363
34272,FC_mean_364
14836,FC_mean_365
34272,FC_mean_366
34272,FC_mean_367
22273,FC_mean_368
34272,FC_mean_369
34272,FC_mean_370
5559,FC_mean_371
14836,FC_mean_372
348,FC_mean_373
14836,FC_mean_374
994,FC_mean_375
14836,FC_mean_376
34272,FC_mean_377
2076,FC_mean_378
34272,FC_mean_379
1080,FC_mean_380
34272,FC_mean_381
34272,FC_mean_382
14836,FC_mean_383
34272,FC_mean_384
14836,FC_mean_385
3016,FC_mean_386
14836,FC_mean_387
14836,FC_mean_388
22273,FC_mean_389
14836,FC_mean_390
1280,FC_mean_391
14836,FC_mean_392
8391,FC_mean_393
5559,FC_mean_394
34272,FC_mean_395
34272,FC_mean_396
14836,FC_mean_397
14836,FC_mean_398
14836,FC_mean_399
34272,FC_mean_400
34272,FC_mean_401
34272,FC_mean_402
14836,FC_mean_403
14836,FC_mean_404
14836,FC_mean_405
34272,FC_mean_406
14836,FC_mean_407
34272,FC_mean_408
5559,FC_mean_409
2076,FC_mean_410
34272,FC_mean_411
34272,FC_mean_412
14836,FC_mean_413
34272,FC_mean_414
34272,FC_mean_415
22273,FC_mean_416
34272,FC_mean_417
338,FC_mean_418
34272,FC_mean_419
14836,FC_mean_420
34272,FC_mean_421
8391,FC_mean_422
34272,FC_mean_423
34272,FC_mean_424
22273,FC_mean_425
34272,FC_mean_426
