,index,features,rank
8054,40520,FC_mean_40520,8053
8055,9944,FC_mean_9944,8055
8056,11409,FC_mean_11409,8055
8057,2933,FC_mean_2933,8057
8058,21416,FC_mean_21416,8058
8059,3473,FC_mean_3473,8059
8060,39463,FC_mean_39463,8060
8061,6740,FC_mean_6740,8061
8062,11964,FC_mean_11964,8061
8063,23388,FC_mean_23388,8063
8064,5130,FC_mean_5130,8064
8065,332,FC_mean_332,8065
8066,32184,FC_mean_32184,8066
8067,3127,FC_mean_3127,8067
8068,31504,FC_mean_31504,8068
8069,35069,FC_mean_35069,8069
8070,3900,FC_mean_3900,8070
8071,32084,FC_mean_32084,8071
8072,33886,FC_mean_33886,8072
8073,19833,FC_mean_19833,8073
8074,42374,FC_mean_42374,8074
8075,41147,FC_mean_41147,8075
8076,35034,FC_mean_35034,8076
8077,21909,FC_mean_21909,8077
8078,7378,FC_mean_7378,8078
8079,18074,FC_mean_18074,8079
8080,24027,FC_mean_24027,8081
8081,13095,FC_mean_13095,8081
8082,28794,FC_mean_28794,8081
8083,7401,FC_mean_7401,8083
8084,2511,FC_mean_2511,8084
8085,3654,FC_mean_3654,8084
8086,9870,FC_mean_9870,8086
8087,24544,FC_mean_24544,8087
8088,39257,FC_mean_39257,8089
8089,1751,FC_mean_1751,8089
8090,39987,FC_mean_39987,8089
8091,27510,FC_mean_27510,8089
8092,38305,FC_mean_38305,8093
8093,4435,FC_mean_4435,8093
8094,7916,FC_mean_7916,8093
8095,17273,FC_mean_17273,8095
8096,8726,FC_mean_8726,8097
8097,38382,FC_mean_38382,8097
8098,1672,FC_mean_1672,8097
8099,27809,FC_mean_27809,8099
8100,43793,FC_mean_43793,8099
8101,42111,FC_mean_42111,8101
8102,24524,FC_mean_24524,8102
8103,32699,FC_mean_32699,8102
8104,9795,FC_mean_9795,8104
8105,6583,FC_mean_6583,8105
8106,31728,FC_mean_31728,8106
8107,33180,FC_mean_33180,8107
8108,27005,FC_mean_27005,8108
8109,39302,FC_mean_39302,8109
8110,24571,FC_mean_24571,8110
8111,6569,FC_mean_6569,8111
8112,17891,FC_mean_17891,8112
8113,1334,FC_mean_1334,8113
8114,39331,FC_mean_39331,8114
8115,15032,FC_mean_15032,8115
8116,3517,FC_mean_3517,8116
8117,4609,FC_mean_4609,8117
8118,30602,FC_mean_30602,8119
8119,11692,FC_mean_11692,8119
8120,11121,FC_mean_11121,8119
8121,13092,FC_mean_13092,8121
8122,9092,FC_mean_9092,8121
8123,43620,FC_mean_43620,8123
8124,33450,FC_mean_33450,8124
8125,43099,FC_mean_43099,8125
8126,39416,FC_mean_39416,8126
8127,2497,FC_mean_2497,8126
8128,4458,FC_mean_4458,8128
8129,35849,FC_mean_35849,8128
8130,9199,FC_mean_9199,8130
8131,33865,FC_mean_33865,8131
8132,18242,FC_mean_18242,8131
8133,33568,FC_mean_33568,8134
8134,12364,FC_mean_12364,8134
8135,10334,FC_mean_10334,8134
8136,12069,FC_mean_12069,8134
8137,31842,FC_mean_31842,8137
8138,27115,FC_mean_27115,8138
8139,44252,FC_mean_44252,8139
8140,40122,FC_mean_40122,8140
8141,34629,FC_mean_34629,8141
8142,36548,FC_mean_36548,8141
8143,42044,FC_mean_42044,8143
8144,10251,FC_mean_10251,8144
8145,17428,FC_mean_17428,8144
8146,8687,FC_mean_8687,8146
8147,22175,FC_mean_22175,8147
8148,33957,FC_mean_33957,8148
8149,41417,FC_mean_41417,8149
8150,28381,FC_mean_28381,8150
8151,41492,FC_mean_41492,8151
8152,2353,FC_mean_2353,8151
8153,41795,FC_mean_41795,8153
8154,30930,FC_mean_30930,8153
8155,3707,FC_mean_3707,8155
8156,19154,FC_mean_19154,8156
8157,28053,FC_mean_28053,8158
8158,23301,FC_mean_23301,8158
8159,6874,FC_mean_6874,8158
8160,17377,FC_mean_17377,8160
8161,18551,FC_mean_18551,8161
8162,29995,FC_mean_29995,8162
8163,41405,FC_mean_41405,8163
8164,4220,FC_mean_4220,8163
8165,18875,FC_mean_18875,8165
8166,17187,FC_mean_17187,8166
8167,26749,FC_mean_26749,8167
8168,79,FC_mean_79,8168
8169,39,FC_mean_39,8168
8170,17446,FC_mean_17446,8170
8171,35226,FC_mean_35226,8171
8172,25409,FC_mean_25409,8172
8173,34429,FC_mean_34429,8173
8174,42228,FC_mean_42228,8173
8175,40995,FC_mean_40995,8175
8176,2312,FC_mean_2312,8175
8177,30878,FC_mean_30878,8177
8178,40369,FC_mean_40369,8178
8179,40509,FC_mean_40509,8179
8180,12173,FC_mean_12173,8179
8181,26150,FC_mean_26150,8181
8182,13581,FC_mean_13581,8181
8183,5578,FC_mean_5578,8183
8184,3690,FC_mean_3690,8184
8185,14433,FC_mean_14433,8184
8186,44694,FC_mean_44694,8186
8187,15091,FC_mean_15091,8186
8188,40855,FC_mean_40855,8188
8189,35825,FC_mean_35825,8189
8190,43631,FC_mean_43631,8190
8191,34651,FC_mean_34651,8190
8192,44031,FC_mean_44031,8192
8193,26713,FC_mean_26713,8193
8194,8426,FC_mean_8426,8193
8195,13153,FC_mean_13153,8195
8196,43480,FC_mean_43480,8195
8197,667,FC_mean_667,8197
8198,20362,FC_mean_20362,8198
8199,9172,FC_mean_9172,8199
8200,26112,FC_mean_26112,8200
8201,42620,FC_mean_42620,8201
8202,6566,FC_mean_6566,8202
8203,24258,FC_mean_24258,8203
8204,6786,FC_mean_6786,8204
8205,28800,FC_mean_28800,8204
8206,31053,FC_mean_31053,8206
8207,35791,FC_mean_35791,8207
8208,23346,FC_mean_23346,8208
8209,36421,FC_mean_36421,8208
8210,21153,FC_mean_21153,8210
8211,30532,FC_mean_30532,8210
8212,37852,FC_mean_37852,8212
8213,21230,FC_mean_21230,8213
8214,40574,FC_mean_40574,8214
8215,24264,FC_mean_24264,8215
8216,29703,FC_mean_29703,8216
8217,21356,FC_mean_21356,8217
8218,20686,FC_mean_20686,8218
8219,35866,FC_mean_35866,8219
8220,30537,FC_mean_30537,8220
8221,40459,FC_mean_40459,8221
8222,2407,FC_mean_2407,8222
8223,9165,FC_mean_9165,8222
8224,26969,FC_mean_26969,8224
8225,3845,FC_mean_3845,8225
8226,6676,FC_mean_6676,8227
8227,17970,FC_mean_17970,8227
8228,42748,FC_mean_42748,8227
8229,24500,FC_mean_24500,8229
8230,990,FC_mean_990,8229
8231,28638,FC_mean_28638,8231
8232,18383,FC_mean_18383,8231
