,index,features,rank
199,39271,FC_mean_39271,198
200,10579,FC_mean_10579,200
201,44040,FC_mean_44040,201
202,21253,FC_mean_21253,202
203,40910,FC_mean_40910,203
204,2745,FC_mean_2745,204
205,32326,FC_mean_32326,204
206,32559,FC_mean_32559,206
207,16947,FC_mean_16947,207
208,30136,FC_mean_30136,208
209,25274,FC_mean_25274,209
210,5982,FC_mean_5982,210
211,24166,FC_mean_24166,211
212,17288,FC_mean_17288,212
213,33653,FC_mean_33653,213
214,620,FC_mean_620,214
215,26434,FC_mean_26434,214
216,43248,FC_mean_43248,217
217,38788,FC_mean_38788,217
218,43978,FC_mean_43978,217
219,44819,FC_mean_44819,219
220,2352,FC_mean_2352,219
221,37528,FC_mean_37528,221
222,10168,FC_mean_10168,222
223,39229,FC_mean_39229,222
224,32261,FC_mean_32261,224
225,34593,FC_mean_34593,225
226,42961,FC_mean_42961,226
227,26814,FC_mean_26814,227
228,25441,FC_mean_25441,228
229,18547,FC_mean_18547,229
230,26910,FC_mean_26910,229
231,10342,FC_mean_10342,231
232,26599,FC_mean_26599,232
233,23234,FC_mean_23234,233
234,23126,FC_mean_23126,234
235,16326,FC_mean_16326,235
236,40469,FC_mean_40469,236
237,28625,FC_mean_28625,237
238,39423,FC_mean_39423,238
239,9010,FC_mean_9010,239
240,9624,FC_mean_9624,239
241,17127,FC_mean_17127,241
242,32810,FC_mean_32810,242
243,1748,FC_mean_1748,243
244,8525,FC_mean_8525,244
245,42400,FC_mean_42400,245
246,37086,FC_mean_37086,246
247,29790,FC_mean_29790,247
248,18052,FC_mean_18052,247
249,25507,FC_mean_25507,249
250,3216,FC_mean_3216,250
251,21636,FC_mean_21636,250
252,7511,FC_mean_7511,252
253,39371,FC_mean_39371,253
254,36444,FC_mean_36444,254
255,1083,FC_mean_1083,255
256,31466,FC_mean_31466,256
257,44762,FC_mean_44762,257
258,6111,FC_mean_6111,258
259,40209,FC_mean_40209,258
260,18230,FC_mean_18230,260
261,42800,FC_mean_42800,260
262,44006,FC_mean_44006,262
263,35444,FC_mean_35444,263
264,1453,FC_mean_1453,263
265,17762,FC_mean_17762,265
266,38242,FC_mean_38242,266
267,24158,FC_mean_24158,267
268,27631,FC_mean_27631,268
269,10231,FC_mean_10231,270
270,28829,FC_mean_28829,270
271,3348,FC_mean_3348,270
272,43302,FC_mean_43302,272
273,10123,FC_mean_10123,273
274,2926,FC_mean_2926,274
275,18895,FC_mean_18895,275
276,38361,FC_mean_38361,276
277,17429,FC_mean_17429,277
278,22795,FC_mean_22795,278
279,24424,FC_mean_24424,279
280,13296,FC_mean_13296,280
281,10151,FC_mean_10151,281
282,17269,FC_mean_17269,282
283,9976,FC_mean_9976,283
284,3150,FC_mean_3150,283
285,38079,FC_mean_38079,285
286,25437,FC_mean_25437,285
287,37912,FC_mean_37912,287
288,39604,FC_mean_39604,288
289,42184,FC_mean_42184,289
290,40375,FC_mean_40375,290
291,10349,FC_mean_10349,291
292,43255,FC_mean_43255,292
293,2468,FC_mean_2468,293
294,28621,FC_mean_28621,294
295,23141,FC_mean_23141,294
296,18556,FC_mean_18556,296
