rank,feature_location
290,FC_mean_35698
291,FC_mean_27360
292,FC_mean_42459
293,FC_mean_33332
294,FC_mean_34568
295,FC_mean_1335
296,FC_mean_14804
297,FC_mean_41679
298,FC_mean_30004
299,FC_mean_33025
300,FC_mean_44046
301,FC_mean_39378
302,FC_mean_40823
303,FC_mean_41900
304,FC_mean_22520
305,FC_mean_40083
306,FC_mean_31509
307,FC_mean_38363
308,FC_mean_1371
309,FC_mean_31316
310,FC_mean_90
311,FC_mean_24537
312,FC_mean_35237
313,FC_mean_3505
314,FC_mean_32781
315,FC_mean_15909
316,FC_mean_19042
317,FC_mean_13986
318,FC_mean_10579
318,FC_mean_6952
320,FC_mean_37009
321,FC_mean_1773
322,FC_mean_2352
323,FC_mean_1197
324,FC_mean_18596
325,FC_mean_16269
326,FC_mean_8789
327,FC_mean_40910
328,FC_mean_36418
329,FC_mean_40023
330,FC_mean_33327
331,FC_mean_35978
332,FC_mean_20164
333,FC_mean_18616
334,FC_mean_33114
335,FC_mean_20832
336,FC_mean_18046
337,FC_mean_2470
338,FC_mean_18041
339,FC_mean_20195
340,FC_mean_20181
341,FC_mean_20823
342,FC_mean_724
343,FC_mean_28539
344,FC_mean_28160
345,FC_mean_42604
346,FC_mean_39073
347,FC_mean_629
348,FC_mean_25441
349,FC_mean_42414
350,FC_mean_20841
351,FC_mean_37202
352,FC_mean_19441
353,FC_mean_44000
354,FC_mean_41564
355,FC_mean_130
356,FC_mean_40680
357,FC_mean_37996
358,FC_mean_2200
359,FC_mean_42125
360,FC_mean_17360
361,FC_mean_41238
362,FC_mean_42551
363,FC_mean_20942
364,FC_mean_27542
365,FC_mean_40146
366,FC_mean_2198
367,FC_mean_21804
368,FC_mean_14420
369,FC_mean_11262
370,FC_mean_6336
371,FC_mean_17582
372,FC_mean_21798
373,FC_mean_3289
374,FC_mean_2302
375,FC_mean_44649
376,FC_mean_8604
377,FC_mean_42791
378,FC_mean_19401
379,FC_mean_39811
380,FC_mean_32564
381,FC_mean_43548
382,FC_mean_38376
383,FC_mean_725
384,FC_mean_31575
385,FC_mean_40975
386,FC_mean_33785
387,FC_mean_7983
388,FC_mean_1848
389,FC_mean_26114
390,FC_mean_23293
391,FC_mean_42752
392,FC_mean_30044
393,FC_mean_32367
394,FC_mean_31056
395,FC_mean_29260
396,FC_mean_21522
397,FC_mean_18863
398,FC_mean_43866
399,FC_mean_7682
400,FC_mean_27351
401,FC_mean_43624
402,FC_mean_43346
403,FC_mean_40110
404,FC_mean_9830
405,FC_mean_25934
406,FC_mean_7327
407,FC_mean_44742
408,FC_mean_24126
409,FC_mean_18846
410,FC_mean_19930
411,FC_mean_32611
412,FC_mean_37861
413,FC_mean_36689
414,FC_mean_33295
415,FC_mean_29635
416,FC_mean_15207
417,FC_mean_9901
418,FC_mean_1383
419,FC_mean_10247
420,FC_mean_36320
421,FC_mean_21332
422,FC_mean_42794
423,FC_mean_21811
424,FC_mean_1663
425,FC_mean_20636
426,FC_mean_6121
427,FC_mean_35098
428,FC_mean_35308
429,FC_mean_44305
430,FC_mean_33696
431,FC_mean_44719
432,FC_mean_38883
433,FC_mean_4915
434,FC_mean_13725
435,FC_mean_30886
436,FC_mean_2726
437,FC_mean_17467
438,FC_mean_19557
439,FC_mean_25434
440,FC_mean_1407
441,FC_mean_18107
442,FC_mean_39084
443,FC_mean_967
444,FC_mean_40469
445,FC_mean_42065
446,FC_mean_36163
447,FC_mean_42151
448,FC_mean_4920
449,FC_mean_1034
450,FC_mean_1139
451,FC_mean_30585
452,FC_mean_43428
453,FC_mean_33767
454,FC_mean_30404
455,FC_mean_41235
456,FC_mean_40149
457,FC_mean_40371
458,FC_mean_17808
459,FC_mean_44792
460,FC_mean_30093
461,FC_mean_1717
462,FC_mean_21821
463,FC_mean_39304
464,FC_mean_18916
464,FC_mean_19851
466,FC_mean_26588
467,FC_mean_31362
468,FC_mean_39904
469,FC_mean_41669
470,FC_mean_21810
471,FC_mean_43350
472,FC_mean_27226
473,FC_mean_39908
474,FC_mean_27635
475,FC_mean_32559
476,FC_mean_19900
477,FC_mean_3353
478,FC_mean_10668
479,FC_mean_37412
480,FC_mean_29040
481,FC_mean_36059
482,FC_mean_43841
483,FC_mean_42516
484,FC_mean_35595
485,FC_mean_27230
486,FC_mean_36186
487,FC_mean_44666
488,FC_mean_21788
489,FC_mean_24512
490,FC_mean_25156
491,FC_mean_39589
492,FC_mean_39223
493,FC_mean_22005
494,FC_mean_33836
495,FC_mean_38129
496,FC_mean_42400
497,FC_mean_19121
498,FC_mean_10933
499,FC_mean_8605
500,FC_mean_36155
500,FC_mean_4471
502,FC_mean_33036
503,FC_mean_35533
504,FC_mean_43448
505,FC_mean_40186
506,FC_mean_19167
507,FC_mean_20748
508,FC_mean_128
509,FC_mean_18815
510,FC_mean_15137
511,FC_mean_12226
512,FC_mean_43957
513,FC_mean_37092
514,FC_mean_37530
515,FC_mean_19424
516,FC_mean_33419
517,FC_mean_38337
518,FC_mean_24006
519,FC_mean_25057
519,FC_mean_37920
521,FC_mean_18606
522,FC_mean_42273
523,FC_mean_15424
524,FC_mean_41183
525,FC_mean_27784
526,FC_mean_40355
527,FC_mean_4487
528,FC_mean_35266
529,FC_mean_32538
530,FC_mean_3064
531,FC_mean_19159
532,FC_mean_31699
533,FC_mean_34392
534,FC_mean_23161
535,FC_mean_40831
536,FC_mean_40464
537,FC_mean_102
538,FC_mean_38709
539,FC_mean_12886
540,FC_mean_34720
541,FC_mean_67
542,FC_mean_40628
543,FC_mean_32259
544,FC_mean_31763
545,FC_mean_41106
546,FC_mean_8783
547,FC_mean_12342
548,FC_mean_31625
549,FC_mean_43829
550,FC_mean_42947
551,FC_mean_40045
552,FC_mean_19642
553,FC_mean_42603
554,FC_mean_23520
554,FC_mean_25244
556,FC_mean_43238
557,FC_mean_44837
558,FC_mean_11289
558,FC_mean_43474
560,FC_mean_13655
561,FC_mean_10786
562,FC_mean_21153
563,FC_mean_1470
564,FC_mean_43813
565,FC_mean_36536
566,FC_mean_13190
567,FC_mean_2645
568,FC_mean_20693
569,FC_mean_19901
570,FC_mean_37523
571,FC_mean_12558
572,FC_mean_40901
573,FC_mean_20444
574,FC_mean_23837
575,FC_mean_30023
576,FC_mean_13298
577,FC_mean_14805
578,FC_mean_35833
579,FC_mean_41668
580,FC_mean_14216
580,FC_mean_2167
582,FC_mean_2304
583,FC_mean_758
584,FC_mean_4442
585,FC_mean_44734
586,FC_mean_43424
587,FC_mean_15855
588,FC_mean_1887
589,FC_mean_43365
590,FC_mean_1680
591,FC_mean_20760
592,FC_mean_13650
593,FC_mean_21386
594,FC_mean_44096
595,FC_mean_41756
596,FC_mean_35926
597,FC_mean_2228
598,FC_mean_44508
599,FC_mean_11386
600,FC_mean_26822
601,FC_mean_14427
602,FC_mean_13327
603,FC_mean_29583
604,FC_mean_36928
605,FC_mean_33055
606,FC_mean_32453
607,FC_mean_11497
608,FC_mean_30474
608,FC_mean_31491
610,FC_mean_41839
611,FC_mean_3807
612,FC_mean_6381
613,FC_mean_10770
614,FC_mean_43295
615,FC_mean_25147
616,FC_mean_34754
617,FC_mean_27315
618,FC_mean_14495
619,FC_mean_43897
620,FC_mean_1324
621,FC_mean_32253
622,FC_mean_21529
623,FC_mean_37793
624,FC_mean_14319
625,FC_mean_10909
626,FC_mean_2353
628,FC_mean_21232
628,FC_mean_2307
628,FC_mean_5012
630,FC_mean_2926
631,FC_mean_1342
632,FC_mean_29709
633,FC_mean_40876
634,FC_mean_43877
635,FC_mean_33956
636,FC_mean_41722
637,FC_mean_21163
638,FC_mean_30812
639,FC_mean_29255
639,FC_mean_34806
641,FC_mean_35149
642,FC_mean_35297
643,FC_mean_30544
644,FC_mean_22657
645,FC_mean_44183
646,FC_mean_25694
647,FC_mean_5351
648,FC_mean_14212
649,FC_mean_1750
650,FC_mean_33223
651,FC_mean_42709
652,FC_mean_22531
653,FC_mean_20835
654,FC_mean_63
655,FC_mean_23530
655,FC_mean_23783
657,FC_mean_23546
658,FC_mean_32454
659,FC_mean_35792
660,FC_mean_18016
661,FC_mean_44028
662,FC_mean_15408
663,FC_mean_39619
664,FC_mean_28269
665,FC_mean_20822
666,FC_mean_6445
667,FC_mean_43178
668,FC_mean_33764
669,FC_mean_39007
670,FC_mean_20558
671,FC_mean_15772
672,FC_mean_35438
673,FC_mean_44819
674,FC_mean_35432
675,FC_mean_31505
676,FC_mean_7226
677,FC_mean_42600
678,FC_mean_21251
679,FC_mean_41696
680,FC_mean_2471
681,FC_mean_2261
682,FC_mean_38031
683,FC_mean_30101
684,FC_mean_19515
685,FC_mean_34388
686,FC_mean_26825
687,FC_mean_27718
688,FC_mean_37577
689,FC_mean_175
690,FC_mean_16145
691,FC_mean_30152
692,FC_mean_18645
693,FC_mean_36603
694,FC_mean_29188
695,FC_mean_32115
696,FC_mean_40566
697,FC_mean_17208
698,FC_mean_27411
699,FC_mean_40507
700,FC_mean_4217
701,FC_mean_22859
702,FC_mean_41076
703,FC_mean_8786
704,FC_mean_23858
705,FC_mean_29930
706,FC_mean_27414
707,FC_mean_37488
708,FC_mean_10697
708,FC_mean_18044
710,FC_mean_27998
711,FC_mean_2073
712,FC_mean_40278
713,FC_mean_23833
713,FC_mean_41459
715,FC_mean_34717
716,FC_mean_1385
717,FC_mean_18598
718,FC_mean_24853
719,FC_mean_14428
720,FC_mean_33934
721,FC_mean_33333
722,FC_mean_332
723,FC_mean_1296
724,FC_mean_43981
725,FC_mean_40649
726,FC_mean_28562
727,FC_mean_13971
728,FC_mean_44523
729,FC_mean_36312
730,FC_mean_29791
731,FC_mean_38459
732,FC_mean_44733
733,FC_mean_6889
734,FC_mean_8160
735,FC_mean_16366
736,FC_mean_36675
737,FC_mean_21962
738,FC_mean_38165
739,FC_mean_15710
740,FC_mean_210
741,FC_mean_22136
742,FC_mean_22802
743,FC_mean_1778
744,FC_mean_19069
745,FC_mean_44264
746,FC_mean_41550
747,FC_mean_16705
748,FC_mean_24821
749,FC_mean_43610
750,FC_mean_26389
751,FC_mean_33680
752,FC_mean_9814
753,FC_mean_6989
754,FC_mean_16373
755,FC_mean_1257
755,FC_mean_604
757,FC_mean_32288
758,FC_mean_6409
759,FC_mean_14974
759,FC_mean_25563
761,FC_mean_10376
762,FC_mean_16607
763,FC_mean_2922
764,FC_mean_32603
765,FC_mean_33404
766,FC_mean_39941
767,FC_mean_2329
768,FC_mean_18618
769,FC_mean_17180
770,FC_mean_12951
770,FC_mean_5464
772,FC_mean_21964
773,FC_mean_36500
774,FC_mean_2438
775,FC_mean_17229
776,FC_mean_44057
777,FC_mean_650
778,FC_mean_35278
779,FC_mean_5001
780,FC_mean_1542
781,FC_mean_24896
782,FC_mean_37919
783,FC_mean_30062
784,FC_mean_29019
785,FC_mean_30635
786,FC_mean_18050
787,FC_mean_17022
788,FC_mean_10107
789,FC_mean_39360
790,FC_mean_2015
791,FC_mean_19798
792,FC_mean_23673
793,FC_mean_27151
794,FC_mean_20631
795,FC_mean_41856
796,FC_mean_23288
797,FC_mean_18522
798,FC_mean_15073
799,FC_mean_26439
800,FC_mean_38276
801,FC_mean_25200
802,FC_mean_1559
803,FC_mean_17509
804,FC_mean_18555
805,FC_mean_35143
806,FC_mean_1319
806,FC_mean_32132
808,FC_mean_3375
809,FC_mean_36978
810,FC_mean_3620
811,FC_mean_25211
812,FC_mean_27527
813,FC_mean_16347
814,FC_mean_25178
815,FC_mean_44726
816,FC_mean_6915
817,FC_mean_2448
818,FC_mean_33395
819,FC_mean_16437
820,FC_mean_44279
821,FC_mean_41802
822,FC_mean_42234
823,FC_mean_20831
824,FC_mean_2323
825,FC_mean_4492
826,FC_mean_23037
827,FC_mean_44465
828,FC_mean_32947
829,FC_mean_30204
830,FC_mean_28118
831,FC_mean_38557
832,FC_mean_35106
833,FC_mean_15284
834,FC_mean_20984
835,FC_mean_21370
836,FC_mean_26188
837,FC_mean_38285
838,FC_mean_35623
839,FC_mean_32796
840,FC_mean_22556
841,FC_mean_43412
842,FC_mean_19462
843,FC_mean_33689
844,FC_mean_9950
845,FC_mean_19748
846,FC_mean_44387
847,FC_mean_24434
848,FC_mean_28030
849,FC_mean_32104
850,FC_mean_1084
851,FC_mean_23751
852,FC_mean_17578
853,FC_mean_44270
854,FC_mean_18947
855,FC_mean_20917
856,FC_mean_29419
857,FC_mean_18799
858,FC_mean_36459
859,FC_mean_33622
860,FC_mean_43203
861,FC_mean_35079
862,FC_mean_37938
863,FC_mean_41276
864,FC_mean_15828
865,FC_mean_23020
866,FC_mean_12677
867,FC_mean_44603
868,FC_mean_37815
869,FC_mean_7823
870,FC_mean_35496
871,FC_mean_27228
872,FC_mean_20992
872,FC_mean_21304
874,FC_mean_3169
875,FC_mean_32818
876,FC_mean_6447
877,FC_mean_20933
878,FC_mean_4370
879,FC_mean_38158
880,FC_mean_1418
881,FC_mean_4133
882,FC_mean_14808
883,FC_mean_20727
884,FC_mean_41651
885,FC_mean_23627
886,FC_mean_38846
887,FC_mean_7311
888,FC_mean_21514
889,FC_mean_11344
890,FC_mean_11863
890,FC_mean_16064
892,FC_mean_6890
893,FC_mean_12781
894,FC_mean_27417
895,FC_mean_18845
896,FC_mean_26469
897,FC_mean_22656
898,FC_mean_21147
899,FC_mean_28881
900,FC_mean_17254
901,FC_mean_32745
902,FC_mean_21448
903,FC_mean_36624
904,FC_mean_25744
904,FC_mean_28999
906,FC_mean_6793
907,FC_mean_4618
908,FC_mean_26897
909,FC_mean_14857
910,FC_mean_16109
911,FC_mean_304
912,FC_mean_1648
913,FC_mean_25112
914,FC_mean_37468
915,FC_mean_13412
915,FC_mean_34459
917,FC_mean_8
918,FC_mean_31525
919,FC_mean_12692
920,FC_mean_30128
921,FC_mean_14063
922,FC_mean_13033
922,FC_mean_34400
924,FC_mean_33592
925,FC_mean_15908
926,FC_mean_22778
926,FC_mean_7517
928,FC_mean_43201
929,FC_mean_30408
930,FC_mean_31776
931,FC_mean_29777
932,FC_mean_27535
933,FC_mean_44275
934,FC_mean_22587
935,FC_mean_19832
936,FC_mean_19285
937,FC_mean_8481
938,FC_mean_32075
939,FC_mean_28625
940,FC_mean_34380
941,FC_mean_41918
942,FC_mean_28935
943,FC_mean_34559
944,FC_mean_2584
945,FC_mean_17260
946,FC_mean_4952
947,FC_mean_2710
948,FC_mean_37821
949,FC_mean_29778
950,FC_mean_3417
951,FC_mean_40989
952,FC_mean_43097
953,FC_mean_25117
954,FC_mean_16999
955,FC_mean_22389
956,FC_mean_1363
957,FC_mean_41156
957,FC_mean_4233
959,FC_mean_37870
960,FC_mean_1782
961,FC_mean_30343
962,FC_mean_7940
962,FC_mean_9746
964,FC_mean_12633
965,FC_mean_29462
966,FC_mean_13524
967,FC_mean_6878
968,FC_mean_44200
969,FC_mean_13835
970,FC_mean_34144
971,FC_mean_27271
972,FC_mean_28148
973,FC_mean_32851
974,FC_mean_10185
975,FC_mean_2749
975,FC_mean_31331
977,FC_mean_37794
978,FC_mean_31582
979,FC_mean_42507
980,FC_mean_6779
981,FC_mean_15243
982,FC_mean_42076
983,FC_mean_34146
984,FC_mean_14878
984,FC_mean_19259
986,FC_mean_24122
987,FC_mean_1382
987,FC_mean_32444
989,FC_mean_21859
989,FC_mean_28011
991,FC_mean_32987
992,FC_mean_19061
992,FC_mean_21858
994,FC_mean_20022
995,FC_mean_2309
996,FC_mean_27590
997,FC_mean_28000
998,FC_mean_1030
998,FC_mean_42037
1000,FC_mean_35654
1001,FC_mean_34675
1002,FC_mean_30885
1003,FC_mean_37019
1004,FC_mean_10784
1005,FC_mean_28304
1006,FC_mean_43545
1007,FC_mean_2141
1008,FC_mean_29715
1009,FC_mean_9979
1010,FC_mean_15620
1011,FC_mean_37112
1012,FC_mean_26235
1013,FC_mean_27031
1014,FC_mean_42020
1015,FC_mean_19926
1016,FC_mean_26715
1017,FC_mean_6432
1018,FC_mean_37073
1019,FC_mean_41206
1020,FC_mean_14486
1020,FC_mean_43769
1022,FC_mean_39789
1023,FC_mean_33428
1024,FC_mean_33407
1025,FC_mean_38319
1026,FC_mean_41763
1027,FC_mean_39263
1028,FC_mean_23558
1029,FC_mean_10908
1029,FC_mean_29926
1031,FC_mean_36755
1032,FC_mean_23592
1033,FC_mean_25496
1034,FC_mean_41157
1035,FC_mean_23371
1036,FC_mean_23802
1037,FC_mean_372
1038,FC_mean_27369
1039,FC_mean_5877
1040,FC_mean_43534
1041,FC_mean_43833
1042,FC_mean_12305
1043,FC_mean_27924
1044,FC_mean_16021
1045,FC_mean_33697
1046,FC_mean_43752
1047,FC_mean_30601
1048,FC_mean_11054
1049,FC_mean_25107
1050,FC_mean_20737
1051,FC_mean_33528
1052,FC_mean_6309
1053,FC_mean_17006
1054,FC_mean_4859
1055,FC_mean_30337
1056,FC_mean_2620
1057,FC_mean_30696
1057,FC_mean_40289
1059,FC_mean_20232
1059,FC_mean_33974
1061,FC_mean_23497
1062,FC_mean_8816
1063,FC_mean_42404
1064,FC_mean_18962
1065,FC_mean_27971
1066,FC_mean_36176
1067,FC_mean_30379
1067,FC_mean_32859
1069,FC_mean_40967
1070,FC_mean_26354
1071,FC_mean_11888
1072,FC_mean_31955
1073,FC_mean_39302
1074,FC_mean_20203
1075,FC_mean_13484
1076,FC_mean_39228
1077,FC_mean_44070
1078,FC_mean_25007
1079,FC_mean_31134
1080,FC_mean_14228
1080,FC_mean_27952
1082,FC_mean_42477
1083,FC_mean_4065
